Comment,Y
 You will really would not believe that a certain person could make a hole so long that you can make a way out. I can't still imagine how the main character made it.,1
" It was touching, no doubt about it, but then the message of hope is dwarfed by our excitement that the two friends are together again.",1
 The sad tale of Brookes who had spent his life in prison and dies in freedom is the emotional heart of the film,1
 the only moment that for me is extraordinary is only the escape scene.,1
The plot with Dufresne taking on his alter-ego on escape was clever and the suicide of Brooks was a bit moving but this was not enough for me,1
" Andy's escape bothered me. It was too ""easy"" ",1
 Andy hides the hammer in his prison issue bible in the book of Exodus. As with most of Frank Darabont's adaptations of King's works this change is subtly brilliant.,1
"When Andy doesn't answer for roll call, and following some intense foreshadowing, the audience is led to believe that Andy's escaped by killing himself, especially when the guard stares into the cell and says, shocked, ""Oh my holy god.""",1
 Andy talks the guys who are beating him up out of raping him using his knowledge of medical trivia,1
" Norton sets up Tommy's murder to look not like an accident, but like a justified shooting during an escape attempt.",1
"At first, Andy's assistance with money laundering may seem like a case of this, but it turns out that he had a plan all along for getting said money launderer busted in the long run.",1
Brooks hangs himself because he can't cope with freedom after 50 years in prison.,1
"Andy steals one of the warden's suits prior to his escape, and wears it the next day when he withdraws money from the bank. Andy is noticeably taller than the warden, yet the suit fits him like it was tailored for him.",1
" Hadley beats a man to death for crying, beats Bogs until he's paralyzed for life and shoots Tommy and frames it as a failed escape attempt for agreeing to testify to Andy's innocence.",1
"The second time around, you cringe at exactly how close the Warden came to walking off with Andy's hammer, or discovering the hole behind his poster. ",1
"Word gets out about Norton's corruption. Then, instead of going into another rant or anything like that, he just shoots himself before the police can get into his office door.",1
"He also hides the tunnel in his cell's wall behind the poster of Rita Hayworth, and later Raquel Welch  a literal cover up",1
"When Warden Norton refuses to investigate the possibility that Elmo Blatch actually killed Andy's wife and her lover, Andy tells him that if he got out of prison he'd never mention what he was doing for the Warden.",1
" Elmo Blatch, the man who really murdered Andy's wife and her lover, is never spoken of again after Tommy's story.",1
" Blatch, the only criminal in the movie to gloat to others about killing people. In his conversation with Tommy, Blatch mentions the very murders that get pinned on Andy. You'd think this would be the kind of thing that would backfire, and yet because of the warden's desire to keep his own crimes secret, Blatch gets away with this in spite of said gloating. ",1
The way he looks at the tunnel he discovers by accident when throwing a rock at a poster absolutely amazing.,1
"Andy sold off his assets before going into prison and invested them with the help of a friend on the outside. This subplot is eliminated in the movie, in which Andy simply steals all the money he'd laundered for Norton, making the revenge that much sweeter ",1
"When Andy breaks the pipe, sewage fountains out, going upwards to make a great image for the cinematographer. However because the end of the pipe Andy crawls out of was not sealed the sewage wouldn't have been under any pressure at all.",1
"Warden Norton, unlike in the book, shoots himself in his office rather than let the police break in and arrest him. The bullet shatters the window behind him.",1
"Norton asking Tommy whether he'd be willing to testify that Andy is innocent. He doesn't let him do it- in fact, he has him shot.",1
 Andy played the warden for a chump!,1
 Andy keeps his rock hammer in his Bible.,1
" In the climax, Norton locks himself in his office as the regular cops try to bust the door down and arrest him, and, without Hadley to do his dirty work, takes different method of escape.",1
 I remember thinking it would take a man six hundred years to tunnel through the wall with it. Old Andy did it in less than twenty.,1
